model,val_roc_auc,val_pr_auc,val_brier,test_roc_auc,test_pr_auc,test_brier,val_best_thr_f1,val_best_f1
XGB (Full),0.7173067860341161,0.15631041862653153,0.2225534108514532,0.7127376425688436,0.14157270580266557,0.21891773061357417,0.6748747229576111,0.2311275631160837
XGB (Fundamental),0.6723146537025745,0.12659287296345295,0.2192198627367441,0.666880889690123,0.11083607027401139,0.21093319612262199,0.598503589630127,0.1953074562450806
Logistic (Fundamental),0.635443987053012,0.10712037298779731,0.31595245189878335,0.6348617870797493,0.09641743643632672,0.31496223531387213,0.670677739107791,0.1734180290881322
